datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,total_sub_metering,target_next_hour_power
2021-01-01 00:00:00,0.1,0.01,234.37,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-01 01:00:00,0.1,0.01,239.08,0.1,0.0,0.0,0.0,0.0,0.3275
2021-01-01 02:00:00,0.3275,0.0261,237.07,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-01 03:00:00,0.1,0.01,241.26,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-01 04:00:00,0.1,0.01,242.92,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-01 05:00:00,0.1,0.01,238.67,0.1,0.0,0.0,0.0,0.0,0.3867
2021-01-01 06:00:00,0.3867,0.0308,241.7,0.1,0.0,0.0,0.0,0.0,0.8744
2021-01-01 07:00:00,0.8744,0.0697,235.11,0.1,0.1006,0.0,0.0,0.1006,1.0163
2021-01-01 08:00:00,1.0163,0.081,239.09,0.1,0.1368,0.0,0.0,0.1368,0.9445
2021-01-01 09:00:00,0.9445,0.0753,244.68,0.1,0.2442,0.0,0.0,0.2442,0.4651
2021-01-01 10:00:00,0.4651,0.0371,236.14,0.1,0.0,0.0917,0.0,0.0917,0.2553
2021-01-01 11:00:00,0.2553,0.0204,238.35,0.1,0.0,0.0269,0.0,0.0269,0.3162
2021-01-01 12:00:00,0.3162,0.0252,244.97,0.1,0.0,0.0222,0.0,0.0222,0.2709
2021-01-01 13:00:00,0.2709,0.0216,235.31,0.1,0.0,0.0308,0.0,0.0308,0.3816
2021-01-01 14:00:00,0.3816,0.0304,242.2,0.1,0.0,0.0214,0.0,0.0214,0.2371
2021-01-01 15:00:00,0.2371,0.0189,240.02,0.1,0.0,0.0,0.0,0.0,0.332
2021-01-01 16:00:00,0.332,0.0265,240.15,0.1,0.0,0.0,0.0,0.0,0.4758
2021-01-01 17:00:00,0.4758,0.0379,241.57,0.1,0.0,0.0,0.0,0.0,1.5925
2021-01-01 18:00:00,1.5925,0.127,238.42,0.1,0.4193,0.0,0.0,0.4193,1.1856
2021-01-01 19:00:00,1.1856,0.0945,242.94,0.1,0.4123,0.0,0.5477,0.96,1.448
2021-01-01 20:00:00,1.448,0.1155,238.21,0.1,0.4111,0.0,0.7295,1.1406,1.7608
2021-01-01 21:00:00,1.7608,0.1404,236.69,0.1,0.0,0.0,0.8708,0.8708,0.2113
2021-01-01 22:00:00,0.2113,0.0169,241.3,0.1,0.0,0.0,0.0585,0.0585,0.273
2021-01-01 23:00:00,0.273,0.0218,233.5,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 00:00:00,0.1,0.01,241.51,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 01:00:00,0.1,0.01,243.09,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 02:00:00,0.1,0.01,243.08,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 03:00:00,0.1,0.01,240.81,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 04:00:00,0.1,0.01,237.81,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-02 05:00:00,0.1,0.01,238.9,0.1,0.0,0.0,0.0,0.0,0.5229
2021-01-02 06:00:00,0.5229,0.0417,237.4,0.1,0.0,0.0,0.0,0.0,1.2763
2021-01-02 07:00:00,1.2763,0.1018,240.54,0.1,0.2225,0.0,0.0,0.2225,0.6444
2021-01-02 08:00:00,0.6444,0.0514,237.53,0.1,0.098,0.0,0.0,0.098,1.086
2021-01-02 09:00:00,1.086,0.0866,241.16,0.1,0.138,0.0,0.0,0.138,0.5268
2021-01-02 10:00:00,0.5268,0.042,238.31,0.1,0.0,0.1033,0.0,0.1033,0.5922
2021-01-02 11:00:00,0.5922,0.0472,242.21,0.1,0.0,0.1543,0.0,0.1543,0.5823
2021-01-02 12:00:00,0.5823,0.0464,239.97,0.1,0.0,0.1226,0.0,0.1226,0.4508
2021-01-02 13:00:00,0.4508,0.0359,237.32,0.1,0.0,0.131,0.0,0.131,0.5432
2021-01-02 14:00:00,0.5432,0.0433,234.33,0.1,0.0,0.144,0.0,0.144,0.6026
2021-01-02 15:00:00,0.6026,0.0481,240.02,0.1,0.0,0.0839,0.0,0.0839,0.5042
2021-01-02 16:00:00,0.5042,0.0402,235.61,0.1,0.0,0.077,0.0,0.077,0.2054
2021-01-02 17:00:00,0.2054,0.0164,241.62,0.1,0.0,0.0,0.0,0.0,1.2498
2021-01-02 18:00:00,1.2498,0.0997,240.24,0.1,0.2312,0.0,0.0,0.2312,1.5182
2021-01-02 19:00:00,1.5182,0.1211,246.02,0.1,0.4251,0.0,0.7825,1.2076,1.9795
2021-01-02 20:00:00,1.9795,0.1578,243.03,0.1,0.4372,0.0,0.9781,1.4153,1.8436
2021-01-02 21:00:00,1.8436,0.147,235.49,0.1,0.0,0.0,0.7854,0.7854,0.4547
2021-01-02 22:00:00,0.4547,0.0363,231.74,0.1,0.0,0.0,0.21,0.21,0.1359
2021-01-02 23:00:00,0.1359,0.0108,234.72,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-03 00:00:00,0.1,0.01,241.32,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-03 01:00:00,0.1,0.01,237.02,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-03 02:00:00,0.1,0.01,245.08,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-03 03:00:00,0.1,0.01,243.66,0.1,0.0,0.0,0.0,0.0,0.2058
2021-01-03 04:00:00,0.2058,0.0164,239.4,0.1,0.0,0.0,0.0,0.0,0.1
2021-01-03 05:00:00,0.1,0.01,240.58,0.1,0.0,0.0,0.0,0.0,0.4153
2021-01-03 06:00:00,0.4153,0.0331,242.38,0.1,0.0,0.0,0.0,0.0,1.2515
2021-01-03 07:00:00,1.2515,0.0998,239.98,0.1,0.1352,0.0,0.0,0.1352,0.9779
2021-01-03 08:00:00,0.9779,0.078,236.5,0.1,0.1582,0.0,0.0,0.1582,0.9955
2021-01-03 09:00:00,0.9955,0.0794,240.78,0.1,0.217,0.0,0.0,0.217,0.699
2021-01-03 10:00:00,0.699,0.0557,238.68,0.1,0.0,0.1924,0.0,0.1924,0.4975
2021-01-03 11:00:00,0.4975,0.0397,240.35,0.1,0.0,0.0616,0.0,0.0616,0.447
2021-01-03 12:00:00,0.447,0.0356,239.24,0.1,0.0,0.0472,0.0,0.0472,0.329
2021-01-03 13:00:00,0.329,0.0262,245.23,0.1,0.0,0.0698,0.0,0.0698,0.7231
2021-01-03 14:00:00,0.7231,0.0577,239.4,0.1,0.0,0.0844,0.0,0.0844,0.335
2021-01-03 15:00:00,0.335,0.0267,238.2,0.1,0.0,0.0778,0.0,0.0778,0.6672
2021-01-03 16:00:00,0.6672,0.0532,244.07,0.1,0.0,0.1746,0.0,0.1746,0.2359
2021-01-03 17:00:00,0.2359,0.0188,234.35,0.1,0.0,0.0,0.0,0.0,1.2098
2021-01-03 18:00:00,1.2098,0.0965,236.27,0.1,0.4002,0.0,0.0,0.4002,1.3435
2021-01-03 19:00:00,1.3435,0.1071,235.94,0.1,0.3052,0.0,0.3723,0.6775,1.6401
2021-01-03 20:00:00,1.6401,0.1308,242.58,0.1,0.3877,0.0,0.3773,0.765,1.8331
2021-01-03 21:00:00,1.8331,0.1462,243.03,0.1,0.0,0.0,0.7952,0.7952,0.3492
2021-01-03 22:00:00,0.3492,0.0278,239.92,0.1,0.0,0.0,0.1357,0.1357,0.1137
